movieId,UMAP1,UMAP2,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,cluster_gmm
619,3.8932166,3.701065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33826,6.9627223,5.6304874,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1298,6.145025,7.6047974,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
140289,5.638327,5.7863407,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
3064,3.361955,7.200554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
2868,5.70098,2.9899807,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
27826,5.0889664,7.328862,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
1950,8.6814375,5.380094,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
27802,6.024453,3.8552172,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6
7149,5.903678,2.5334816,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
4334,1.4522219,4.911936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39234,8.768973,5.6498895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
5562,0.79174036,4.0600877,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6678,2.4365726,8.28337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
5313,3.375932,4.322698,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
7205,1.2668546,2.5692828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
573,7.604396,6.8058023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5849,2.706357,2.7584438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3075,3.758366,2.0774426,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
5619,6.861314,3.03224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4133,4.782129,3.7994246,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
179,3.301898,7.724564,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
5364,7.30074,2.5605989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
912,5.783943,7.4526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
2333,6.1785297,6.2747455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
198,6.820946,7.8941836,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,2
7010,2.674259,8.728195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
6405,4.1575184,3.1014388,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3833,6.8210783,5.5745077,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
107141,8.416812,7.1493373,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
4610,3.221537,5.6976776,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3
3857,4.012436,5.016094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
26133,2.7165012,6.398291,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
161634,5.084008,8.06046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
51086,3.7167542,5.8853226,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3
4975,7.6844025,7.2511992,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2
27604,5.406641,5.7463517,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
3019,4.791392,6.5266585,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
56788,6.2827964,4.22418,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
8984,6.5975785,5.9692593,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
161354,4.5083566,7.419978,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
26242,2.0463765,1.667665,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4
66198,5.178095,2.4179053,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6
27627,5.375594,2.5611672,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
58105,3.4043784,8.041311,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7
73344,6.1734557,7.5999317,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2952,3.5230262,4.925437,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3
113,8.795231,6.1251097,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5
133879,4.5043654,6.241095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5268,1.4501265,3.5903816,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
